id	type	longitude	latitude	elevation
5106	100	-97.7388	30.2788	162.4000396728516
5107	100	-97.7395	30.2769	0.0
5135	100	-97.7514	30.2769	0.0
5143	100	-97.7305	30.2786	0.0
5151	100	-97.743	30.2779	0.0
5152	100	-97.7433	30.2769	0.0
5178	100	-97.7466	30.2779	0.0
5188	100	-97.7412	30.2795	0.0
5189	100	-97.7419	30.2776	0.0
5197	100	-97.7322	30.279	0.0
5198	100	-97.7332	30.2772	0.0
5208	100	-97.7507	30.2786	0.0
5210	100	-97.7345	30.2796	0.0
5211	100	-97.736	30.2759	0.0
5212	100	-97.7474	30.2758	0.0
5214	100	-97.7364	30.2781	0.0
5215	100	-97.7371	30.2762	0.0
5220	100	-97.7452	30.2785	0.0
5414	100	-97.7473	30.2662	0.0
5431	100	-97.7463	30.2755	0.0
5452	100	-97.7469	30.2641	0.0
5453	100	-97.748	30.2644	0.0
5454	100	-97.7466	30.2681	0.0
5455	100	-97.7452	30.2718	0.0
5456	100	-97.7485	30.2727	0.0
5458	100	-97.7477	30.2684	0.0
5464	100	-97.7463	30.269	0.0
5465	100	-97.7495	30.2699	0.0
5469	100	-97.7455	30.2609	0.0
5471	100	-97.7459	30.27	0.0
5544	100	-97.7546	30.2703	0.0
5545	100	-97.7615	30.2694	0.0
5551	100	-97.7487	30.2611	0.0
5553	100	-97.7571	30.2645	0.0
5570	100	-97.7532	30.2697	0.0
5571	100	-97.7538	30.2685	0.0
5572	100	-97.7571	30.267	0.0
5573	100	-97.7528	30.2739	0.0
5574	100	-97.754	30.2715	0.0
5576	100	-97.7499	30.269	0.0
5577	100	-97.7557	30.2678	0.0
5579	100	-97.751	30.2652	0.0
5581	100	-97.751	30.2693	0.0
5582	100	-97.7487	30.2656	0.0
5583	100	-97.7491	30.2647	0.0
5584	100	-97.7491	30.2678	0.0
5585	100	-97.7502	30.2681	0.0
5586	100	-97.7484	30.2761	0.0
5587	100	-97.7482	30.2737	0.0
5588	100	-97.7492	30.2709	0.0
5589	100	-97.7495	30.2701	0.0
5654	100	-97.7388	30.2618	0.0
5655	100	-97.7393	30.2604	0.0
5659	100	-97.7368	30.2612	0.0
5685	100	-97.7446	30.2634	0.0
5709	100	-97.7333	30.2706	0.0
5710	100	-97.734	30.2687	0.0
5711	100	-97.7387	30.2721	0.0
5712	100	-97.739	30.2711	0.0
5713	100	-97.7404	30.2705	0.0
5714	100	-97.7411	30.2686	0.0
5715	100	-97.7397	30.2724	0.0
5716	100	-97.7372	30.2665	0.0
5717	100	-97.7404	30.2674	0.0
5718	100	-97.7418	30.2709	0.0
5719	100	-97.7425	30.269	0.0
5722	100	-97.7379	30.2677	0.0
5723	100	-97.74	30.2683	0.0
5724	100	-97.7362	30.2693	0.0
5725	100	-97.7383	30.2699	0.0
5726	100	-97.7438	30.2693	0.0
5727	100	-97.7393	30.2702	0.0
5728	100	-97.7431	30.2712	0.0
5729	100	-97.7382	30.2637	0.0
5730	100	-97.7386	30.2658	0.0
5731	100	-97.7407	30.2664	0.0
5732	100	-97.7358	30.2702	0.0
5733	100	-97.7375	30.2753	0.0
5737	100	-97.7437	30.2658	0.0
5738	100	-97.7441	30.2646	0.0
5739	100	-97.7418	30.2668	0.0
5740	100	-97.7428	30.2681	0.0
5741	100	-97.7441	30.2684	0.0
5742	100	-97.7432	30.2671	0.0
5743	100	-97.7432	30.263	0.0
5744	100	-97.7421	30.2627	0.0
5745	100	-97.7448	30.2666	0.0
5746	100	-97.7459	30.2638	0.0
5747	100	-97.7414	30.2646	0.0
5748	100	-97.7445	30.2675	0.0
5749	100	-97.7455	30.2678	0.0
5750	100	-97.7435	30.2662	0.0
5751	100	-97.74	30.2621	0.0
5752	100	-97.7415	30.2677	0.0
5753	100	-97.7435	30.2734	0.0
5754	100	-97.7424	30.2731	0.0
5755	100	-97.7446	30.2737	0.0
5756	100	-97.7449	30.2728	0.0
5757	100	-97.7441	30.2748	0.0
5758	100	-97.7411	30.2727	0.0
5759	100	-97.7414	30.2718	0.0
5760	100	-97.7408	30.2773	0.0
5761	100	-97.7347	30.2668	0.0
5762	100	-97.735	30.2659	0.0
5763	100	-97.7354	30.2649	0.0
5764	100	-97.7375	30.2655	0.0
5770	100	-97.7368	30.2674	0.0
5771	100	-97.7373	30.2663	0.0
5772	100	-97.7328	30.2718	0.0
5773	100	-97.735	30.2723	0.0
5777	100	-97.735	30.2739	0.0
5778	100	-97.7349	30.2756	0.0
5779	100	-97.7354	30.2712	0.0
5780	100	-97.7318	30.2748	0.0
5782	100	-97.7382	30.2732	0.0
5784	100	-97.7372	30.2729	0.0
5788	100	-97.7365	30.2715	0.0
5789	100	-97.7376	30.2718	0.0
6144	100	-97.7447	30.2879	0.0
6145	100	-97.7478	30.2882	0.0
6146	100	-97.7452	30.2827	0.0
6147	100	-97.7483	30.2836	0.0
6166	100	-97.7452	30.2966	0.0
6167	100	-97.7485	30.2981	0.0
6169	100	-97.7462	30.3002	0.0
6174	100	-97.7449	30.2853	0.0
6175	100	-97.7481	30.2855	0.0
6183	100	-97.7444	30.2907	0.0
6184	100	-97.7475	30.2909	0.0
6188	100	-97.7499	30.2917	0.0
6191	100	-97.7462	30.2788	0.0
6230	100	-97.7528	30.2885	0.0
6231	100	-97.7521	30.2836	0.0
6232	100	-97.7506	30.28	0.0
6234	100	-97.7563	30.2895	0.0
6236	100	-97.7498	30.2839	0.0
6304	100	-97.7428	30.2954	0.0
6305	100	-97.7412	30.292	0.0
6307	100	-97.733	30.2937	0.0
6311	100	-97.728	30.2832	0.0
6312	100	-97.7307	30.285	0.0
6315	100	-97.7277	30.284	0.0
6318	100	-97.736	30.2932	0.0
6319	100	-97.7375	30.2943	0.0
6320	100	-97.7439	30.2959	0.0
6322	100	-97.7303	30.2802	0.0
6326	100	-97.7291	30.2884	0.0
6327	100	-97.7298	30.2889	0.0
6328	100	-97.7347	30.2893	0.0
6332	100	-97.7381	30.2807	0.0
6333	100	-97.7437	30.2879	0.0
6334	100	-97.7378	30.2917	0.0
6335	100	-97.7416	30.2877	0.0
6336	100	-97.7418	30.285	0.0
6337	100	-97.7394	30.281	0.0
6338	100	-97.7374	30.2835	0.0
6339	100	-97.7419	30.2838	0.0
6340	100	-97.738	30.2896	0.0
6341	100	-97.7414	30.2898	0.0
6342	100	-97.7335	30.2871	0.0
6343	100	-97.7337	30.2853	0.0
6344	100	-97.737	30.2895	0.0
6345	100	-97.7423	30.2797	0.0
6346	100	-97.7419	30.2817	0.0
6347	100	-97.7432	30.2821	0.0
6348	100	-97.7451	30.284	0.0
6349	100	-97.7405	30.2813	0.0
6350	100	-97.7448	30.2825	0.0
6351	100	-97.7456	30.2807	0.0
6353	100	-97.7341	30.2832	0.0
6354	100	-97.7357	30.28	0.0
6355	100	-97.7343	30.2804	0.0
6356	100	-97.7347	30.291	0.0
6357	100	-97.7368	30.2895	0.0
6359	100	-97.7396	30.3003	0.0
6361	100	-97.7384	30.2947	0.0
6362	100	-97.7421	30.2965	0.0
6364	100	-97.7447	30.3027	0.0
6376	100	-97.7275	30.2831	0.0
6378	100	-97.7267	30.2872	0.0
6399	100	-97.727	30.2914	0.0
10457	100	-97.7421	30.2658	0.0
10458	100	-97.7411	30.2655	0.0
10459	100	-97.74	30.2652	0.0
10460	100	-97.7411	30.2624	0.0
10461	100	-97.7397	30.2661	0.0
10486	100	-97.7478	30.2746	0.0
10487	100	-97.7484	30.2665	0.0
10488	100	-97.7452	30.2656	0.0
10489	100	-97.7425	30.2649	0.0
10490	100	-97.7404	30.2643	0.0
10491	100	-97.7439	30.2652	0.0
10601	100	-97.7529	30.2711	0.0
10602	100	-97.7495	30.2731	0.0
10606	100	-97.7472	30.2832	0.0
10607	100	-97.7513	30.2828	0.0
10609	100	-97.7368	30.2803	0.0
10610	100	-97.7353	30.2778	0.0
10611	100	-97.7459	30.2669	0.0
10777	100	-97.747	30.2672	0.0
10778	100	-97.7481	30.2675	0.0
10782	100	-97.7452	30.2687	0.0
11030	100	-97.7389	30.2649	0.0
11031	100	-97.7378	30.2646	0.0
11044	100	-97.7477	30.2894	0.0
11080	100	-97.7431	30.2744	0.0
11081	100	-97.7426	30.2756	0.0
11082	100	-97.7423	30.2766	0.0
11084	100	-97.7459	30.2797	0.0
11085	100	-97.7448	30.2866	0.0
11086	100	-97.7513	30.2884	0.0
11121	100	-97.7456	30.3013	0.0
11206	100	-97.7393	30.2897	0.0
11207	100	-97.7315	30.2893	0.0
11208	100	-97.73	30.2874	0.0
11229	100	-97.7357	30.2972	0.0
11272	100	-97.7409	30.2984	0.0
11273	100	-97.7413	30.2907	0.0
11274	100	-97.7417	30.2861	0.0
11298	100	-97.7326	30.2852	0.0
11299	100	-97.7328	30.2782	0.0
11308	100	-97.7323	30.2852	0.0
11337	100	-97.7406	30.2837	0.0
11355	100	-97.7409	30.2837	0.0
11381	100	-97.7421	30.2699	0.0
11382	100	-97.7416	30.2785	0.0
11384	100	-97.7407	30.2633	0.0
11483	100	-97.7543	30.2779	0.0
11484	100	-97.7495	30.2763	0.0
11501	100	-97.727	30.2863	0.0
11502	100	-97.7274	30.2849	0.0
11504	100	-97.7341	30.2919	0.0
11509	100	-97.7271	30.2861	0.0
11531	100	-97.747	30.2768	0.0
11532	100	-97.7469	30.277	0.0
11533	100	-97.7365	30.2747	0.0
11536	100	-97.7558	30.2708	0.0
11537	100	-97.7357	30.2671	0.0
11574	100	-97.7333	30.2817	0.0
11600	100	-97.7319	30.2851	0.0
11605	100	-97.7522	30.2752	0.0
11637	100	-97.7339	30.2922	0.0
11642	100	-97.7393	30.2671	0.0
11713	100	-97.7412	30.2978	0.0
11743	100	-97.7401	30.2897	0.0
11756	100	-97.7524	30.2657	0.0
11770	100	-97.7483	30.2696	0.0
11786	100	-97.7578	30.273	0.0
11866	100	-97.7523	30.2656	0.0
11966	100	-97.751	30.2884	0.0
12010	100	-97.7463	30.2971	0.0
12022	100	-97.7369	30.2953	0.0
12036	100	-97.7366	30.2918	0.0
12043	100	-97.7366	30.2916	0.0
12044	100	-97.7363	30.2963	0.0
12060	100	-97.7476	30.2977	0.0
12061	100	-97.7441	30.2937	0.0
12064	100	-97.744	30.295	0.0
