100001	100	0	70
200001	100	0	70
1	1	0	70
100002	100	30	70
200002	100	30	70
2	1	30	70
100003	100	0	60
200003	100	0	60
3	1	0	60
100004	100	10	60
200004	100	10	60
4	1	10	60
100005	100	20	60
200005	100	20	60
5	1	20	60
100006	100	30	60
200006	100	30	60
6	1	30	60
100007	100	40	50
200007	100	40	50
7	1	40	50
100008	100	30	50
200008	100	30	50
8	1	30	50
100009	100	20	50
200009	100	20	50
9	1	20	50
100010	100	20	40
200010	100	20	40
10	1	20	40
100011	100	10	40
200011	100	10	40
11	1	10	40
100012	100	0	40
200012	100	0	40
12	1	0	40
100013	100	0	0
200013	100	0	0
13	1	0	0
100014	100	10	20
200014	100	10	20
14	1	10	20
100015	100	20	20
200015	100	20	20
15	1	20	20
100016	100	30	40
200016	100	30	40
16	1	30	40
100017	100	30	30
200017	100	30	30
17	1	30	30
100018	100	40	40
200018	100	40	40
18	1	40	40
100019	100	30	20
200019	100	30	20
19	1	30	20
100020	100	30	0
200020	100	30	0
20	1	30	0
100021	100	20	0
200021	100	20	0
21	1	20	0
100022	100	20	10
200022	100	20	10
22	1	20	10
100023	100	10	10
200023	100	10	10
23	1	10	10
100024	100	10	0
200024	100	10	0
24	1	10	0
