312	1	3	12	21120	1	2340	1
43	1	4	3	21120	1	1711	1
45	1	4	5	10560	1	1778	1
411	1	4	11	31680	1	491	1
54	1	5	4	10560	1	1778	1
56	1	5	6	21120	1	495	1
59	1	5	9	26400	1	1000	1
62	1	6	2	26400	1	496	1
65	1	6	5	21120	1	495	1
68	1	6	8	10560	1	490	1
78	1	7	8	15840	1	784	1
718	1	7	18	10560	1	2340	1
86	1	8	6	10560	1	490	1
87	1	8	7	15840	1	784	1
89	1	8	9	52800	1	505	1
816	1	8	16	26400	1	505	1
95	1	9	5	26400	1	1000	1
98	1	9	8	52800	1	505	1
910	1	9	10	15840	1	1392	1
109	1	10	9	15840	1	1392	1
1011	1	10	11	26400	1	1000	1
1015	1	10	15	31680	1	1351	1
1016	1	10	16	21120	1	485	1
1017	1	10	17	42240	1	499	1
114	1	11	4	31680	1	491	1
1110	1	11	10	26400	1	1000	1
1112	1	11	12	31680	1	491	1
1114	1	11	14	21120	1	488	1
123	1	12	3	21120	1	2340	1
1211	1	12	11	31680	1	491	1
1213	1	12	13	15840	1	2590	1
1312	1	13	12	15840	1	2590	1
1324	1	13	24	21120	1	509	1
1411	1	14	11	21120	1	488	1
1415	1	14	15	26400	1	513	1
1423	1	14	23	21120	1	492	1
1510	1	15	10	31680	1	1351	1
1514	1	15	14	26400	1	513	1
1519	1	15	19	15840	1	1456	1
1522	1	15	22	15840	1	960	1
168	1	16	8	26400	1	505	1
1610	1	16	10	21120	1	485	1
1617	1	16	17	10560	1	523	1
1618	1	16	18	15840	1	1968	1
1710	1	17	10	42240	1	499	1
1716	1	17	16	10560	1	523	1
1719	1	17	19	10560	1	482	1
187	1	18	7	10560	1	2340	1
1816	1	18	16	15840	1	1968	1
1820	1	18	20	21120	1	2340	1
1915	1	19	15	15840	1	1456	1
1917	1	19	17	10560	1	482	1
1920	1	19	20	21120	1	500	1
2018	1	20	18	21120	1	2340	1
2019	1	20	19	21120	1	500	1
2021	1	20	21	31680	1	506	1
2022	1	20	22	26400	1	508	1
2120	1	21	20	31680	1	506	1
2122	1	21	22	10560	1	523	1
2124	1	21	24	15840	1	489	1
2215	1	22	15	15840	1	960	1
2220	1	22	20	26400	1	508	1
2221	1	22	21	10560	1	523	1
2223	1	22	23	21120	1	500	1
2314	1	23	14	21120	1	492	1
2322	1	23	22	21120	1	500	1
2324	1	23	24	10560	1	508	1
2413	1	24	13	21120	1	509	1
2421	1	24	21	15840	1	489	1
2423	1	24	23	10560	1	508	1
90011	100	100001	1	1	1	1	1
119001	100	1	200001	1	1	1	1
90022	100	100002	2	1	1	1	1
219002	100	2	200002	1	1	1	1
90033	100	100003	3	1	1	1	1
319003	100	3	200003	1	1	1	1
90044	100	100004	4	1	1	1	1
419004	100	4	200004	1	1	1	1
90055	100	100005	5	1	1	1	1
519005	100	5	200005	1	1	1	1
90066	100	100006	6	1	1	1	1
619006	100	6	200006	1	1	1	1
90077	100	100007	7	1	1	1	1
719007	100	7	200007	1	1	1	1
90088	100	100008	8	1	1	1	1
819008	100	8	200008	1	1	1	1
90099	100	100009	9	1	1	1	1
919009	100	9	200009	1	1	1	1
901010	100	100010	10	1	1	1	1
1019010	100	10	200010	1	1	1	1
901111	100	100011	11	1	1	1	1
1119011	100	11	200011	1	1	1	1
901212	100	100012	12	1	1	1	1
1219012	100	12	200012	1	1	1	1
901313	100	100013	13	1	1	1	1
1319013	100	13	200013	1	1	1	1
901414	100	100014	14	1	1	1	1
1419014	100	14	200014	1	1	1	1
901515	100	100015	15	1	1	1	1
1519015	100	15	200015	1	1	1	1
901616	100	100016	16	1	1	1	1
1619016	100	16	200016	1	1	1	1
901717	100	100017	17	1	1	1	1
1719017	100	17	200017	1	1	1	1
901818	100	100018	18	1	1	1	1
1819018	100	18	200018	1	1	1	1
901919	100	100019	19	1	1	1	1
1919019	100	19	200019	1	1	1	1
902020	100	100020	20	1	1	1	1
2019020	100	20	200020	1	1	1	1
902121	100	100021	21	1	1	1	1
2119021	100	21	200021	1	1	1	1
902222	100	100022	22	1	1	1	1
2219022	100	22	200022	1	1	1	1
902323	100	100023	23	1	1	1	1
2319023	100	23	200023	1	1	1	1
902424	100	100024	24	1	1	1	1
2419024	100	24	200024	1	1	1	1
12	1	1	2	31680	1	2590	1
13	1	1	3	21120	1	2340	1
21	1	2	1	31680	1	2590	1
26	1	2	6	26400	1	496	1
31	1	3	1	21120	1	2340	1
34	1	3	4	21120	1	1711	1
