Iter	RMSE	DA	AV	TR	veh trips	gap	time
1	22.81496435465799	175	0	12	176	2.2222222222222223	0.2
2	0.5712065242072122	175	0	12	174	3.023454887861715	0.1
3	0.19079005309203606	175	0	12	176	2.2222222222222223	0.1
4	0.0951111080192733	175	0	12	173	2.574614065180121	0.1
5	0.05714855720536221	175	0	12	176	2.479647218453224	0.1
6	0.038191666823126726	175	0	12	175	2.41635687732342	0.1
7	0.027146110515888347	175	0	12	175	2.0522388059701493	0.1
8	0.020359582886918245	175	0	12	174	3.1895223420647683	0.1
9	0.015970840882230497	175	0	12	176	2.0408163265306123	0.1
10	0.014958121596475357	175	0	12	174	3.3873443629541664	0.1
11	0.010237640192040898	175	0	12	174	1.694915254237288	0.1
12	0.008513779496712712	175	0	12	174	3.778567800914205	0.1
13	0.007254428953009483	175	0	12	174	4.657157587214318	0.1
14	0.006752051107222682	175	0	12	175	2.0522388059701493	0.1
15	0.005322529452159609	175	0	12	173	2.372589531680465	0.1
