id	origin	dest	dep_time	vot	tt	fftime
60890	133099	201409	6027	1909.416011615887	39	39
1774	100380	231791	6080	1465.4969342638283	310	310
55456	126364	200406	3900	993.9839467909528	498	498
55660	125545	201408	3975	837.8777531813647	171	171
11748	126364	231786	5842	792.8118303097248	332	332
46225	133096	200345	4050	740.4423029067694	36	36
65780	126386	200385	5304	718.0297536709066	66	66
57542	125553	200406	4000	626.1238447634709	236	236
22477	126234	226364	740	625.8245761012172	172	172
12478	125545	225469	4188	599.9147956584707	210	210
7679	125682	231786	5568	590.9478987912238	318	318
47888	133099	200378	1062	522.3542257199706	210	210
30644	132097	200385	5100	516.6523433899322	84	84
15867	125545	225551	3740	514.5755143296445	178	178
15456	125545	225551	352	507.380362845522	176	176
42194	133099	226386	6484	505.5129463743441	254	254
61891	131536	200378	5138	494.1547704264734	154	154
34296	125682	200361	2900	473.28418410502087	286	286
38877	131536	225669	480	450.95027255002674	306	306
71700	125469	226364	3974	450.66315071584063	502	502
20440	126384	225673	6552	437.06045917376895	180	180
6172	130616	200372	2250	420.76189985710556	264	264
75021	125551	200361	4460	418.0041555626735	418	418
1818	100376	231791	3420	414.63751614476615	258	258
40501	131536	230616	1500	413.00934553880836	324	324
11504	125682	226393	4080	410.05047768683716	192	192
7267	131551	231786	550	408.99335338979864	302	302
66410	126386	201413	4696	403.35766358591155	98	98
38738	126399	231791	5447	396.8952193826359	49	49
69751	125682	200385	6417	393.997257246553	129	129
59552	125545	200381	2184	369.3874417285112	222	222
75087	125551	200361	2190	362.3720955632055	420	420
42724	126399	231027	4860	353.2833532257507	120	120
10268	125553	226307	6600	349.85105924441154	498	498
22113	125553	231786	5176	348.3200177293164	116	116
35167	125682	200376	3856	345.0152638939384	188	188
50198	126234	200375	2025	343.58635405519556	165	165
69814	125682	200385	3677	343.4736969613934	127	127
20324	126384	225673	5598	338.6980196897038	180	180
8844	100378	225553	6525	337.71268582709746	201	201
10316	125551	226359	2640	335.00652514843887	516	516
53767	126364	200344	6090	334.49428385474556	42	42
1392	100379	230615	1200	332.2719787135157	150	150
63868	131536	200403	4896	329.0773860355376	36	36
39643	131483	231027	1350	327.7565460548449	366	366
19048	126399	226234	576	325.76976717683834	342	342
9563	125553	226359	6948	322.349967292238	420	420
