id	origin	dest	dep_time	vot	tt	fftime
60355	125551	226364	5656	1909.416011615887	482	482
56255	126386	200362	5940	1245.6157860120218	126	126
54441	126386	200385	1116	993.9839467909528	66	66
54710	126386	200385	3855	837.8777531813647	63	63
11391	126364	233096	6210	792.8118303097248	84	84
45328	126359	200344	7003	740.4423029067694	71	71
55510	129912	201413	2061	720.3800049817066	189	189
56799	129912	200385	5672	626.1238447634709	154	154
20757	126399	226307	2100	625.8245761012172	162	162
12412	125551	225545	4872	599.9147956584707	192	192
21431	125682	230479	759	530.4652914923876	57	57
46859	126234	201409	225	522.3542257199706	165	165
29843	125669	200378	5736	516.6523433899322	168	168
15160	129912	225673	252	507.380362845522	222	222
41097	133099	200361	4794	505.5129463743441	270	270
61329	125551	200384	5940	494.1547704264734	258	258
33232	133096	232077	2250	473.28418410502087	294	294
37721	100376	233099	4368	450.95027255002674	114	114
25694	125682	201408	1460	436.25835681986405	244	244
39341	133096	200377	2056	413.00934553880836	296	296
11115	126364	233096	180	410.05047768683716	84	84
7047	126399	200372	3900	408.99335338979864	408	408
37594	100362	233099	5960	396.8952193826359	160	160
58929	125682	201413	539	369.3874417285112	139	139
41614	126307	200361	2520	353.2833532257507	84	84
9986	131536	225551	3204	349.85105924441154	174	174
20559	100383	200406	1500	348.3200177293164	138	138
34069	130616	226393	3036	345.0152638939384	174	174
12252	125551	225545	6002	344.4550301271596	190	190
49167	125545	200378	2800	343.58635405519556	206	206
19527	100374	200377	4050	338.6980196897038	54	54
8548	125553	226364	3290	337.71268582709746	388	388
10032	131536	225553	1900	335.00652514843887	86	86
52905	131536	200380	6840	334.49428385474556	120	120
1292	100360	231027	6750	332.2719787135157	246	246
12010	125545	225553	3316	330.42447332716654	104	104
38463	133096	200345	3540	327.7565460548449	36	36
9373	125682	226393	690	322.349967292238	192	192
59171	125682	201413	4224	318.0282098718182	144	144
9317	125682	226393	410	316.03114200652	190	190
45456	126359	200344	2751	314.1694940617199	69	69
28124	125669	200385	5850	312.48965337861847	168	168
27881	126384	201408	7050	310.2309074520612	258	258
35668	125545	231791	2980	302.478272332818	470	470
5104	130616	200404	6750	301.61598872013815	276	276
23924	126386	200379	5490	300.84132866014676	156	156
38504	133096	200345	1260	292.7039632276456	36	36
28735	125682	200373	720	292.6816252433087	282	282
1319	100345	231791	3694	289.3953470908991	248	248
41596	126307	200362	3390	289.19507255664814	78	78
32645	126234	231791	5526	288.7986470567586	366	366
34385	131551	231791	3992	287.97660167903	220	220
47761	125545	200385	4050	280.46197715685645	360	360
52186	131536	200378	2793	280.1855035128488	153	153
51034	131536	200372	2214	280.17282115056724	42	42
18786	126234	226364	3681	279.6088784823041	171	171
15224	129912	225673	700	279.35106794543503	218	218
4587	126384	225469	5060	278.2941574161406	268	268
38956	133099	200374	3835	277.8425338241991	59	59
32221	126399	232077	4695	275.7893462948116	75	75
43213	126359	200361	2580	275.2203430777378	102	102
9659	130631	233099	3150	273.291951955932	240	240
32329	131536	225669	2022	272.89463878884925	306	306
62393	125551	200374	4900	272.1276417621537	200	200
19541	100379	200362	7650	271.47915540064935	174	174
52172	131536	200377	4968	268.6360121499423	210	210
55377	126386	201413	4320	268.37671781639017	102	102
61489	125551	200344	6011	268.3190057011043	445	445
14561	101413	200380	6000	267.4691067182313	180	180
29805	125669	200379	3678	264.7037219817481	132	132
17172	126384	225673	4194	262.60791537434335	180	180
38323	133099	200385	3428	262.4903815049878	196	196
60397	125551	226364	296	260.1604722371706	484	484
20122	100403	200362	7650	258.85537685355905	288	288
29644	125669	200378	2100	257.78046559861235	168	168
45045	126399	200406	3856	257.1159647502809	320	320
55768	129912	201413	1460	254.43940394677776	190	190
28228	125682	200384	1284	254.076763162862	132	132
29901	125669	200378	7110	253.85777989263048	168	168
15724	125682	229913	1215	253.7184540475636	159	159
397	130479	231786	690	253.62914463564283	312	312
51539	131536	200378	3906	253.02647970083126	156	156
10974	126359	233096	1260	252.96698170527804	114	114
32279	126399	232077	1412	250.95021316194135	76	76
11624	125545	225553	3684	250.1019382132984	108	108
59371	125682	200362	5090	250.0187051992549	232	232
27936	126386	201408	2160	248.3054329625164	228	228
35435	133096	230479	4050	246.6571480348335	528	528
49841	125545	200380	2774	244.54627347524388	172	172
23348	126386	200374	2340	242.83952192413943	204	204
56379	126386	200362	987	240.34189039396614	123	123
9389	125682	226393	770	239.87754593599206	190	190
35400	133099	226393	1362	237.90505561027504	342	342
3456	125469	200383	1284	237.56815395922564	198	198
9244	125682	226393	45	237.44230447088938	189	189
57863	129912	200377	5176	236.5833925376928	200	200
6976	130615	225545	6940	235.90829565466856	362	362
50963	131536	200372	1472	235.5273635441142	40	40
45764	126399	200383	4948	234.7558826712073	224	224
48905	125553	200380	3272	233.37370497006862	178	178
43397	126359	200358	384	231.05920070850195	222	222
37448	101410	226364	3000	230.94101061324284	192	192
32884	126234	231791	5032	229.5618363629803	362	362
43501	126364	200373	3300	227.31330038293194	294	294
27010	129912	200383	1472	226.5782905259348	196	196
15971	126359	225551	128	226.33343496303738	502	502
10377	125545	225469	5832	225.8148689223209	210	210
35941	133096	225698	2250	224.56511596255288	516	516
5041	126384	231786	5460	224.0681045432414	390	390
31696	125545	226386	6820	223.94515304502815	410	410
22535	126384	200385	2376	223.20750886003566	114	114
3552	125469	200381	1386	222.61133437053758	102	102
52871	131536	200383	380	222.36132935151542	250	250
42802	126364	200377	3060	220.27054657274013	336	336
41497	125545	200849	3525	220.25750126117617	135	135
48953	125545	200372	6860	217.82248145303313	94	94
37705	100377	233099	2892	215.63951181552295	108	108
22216	132077	226307	4725	215.39180280545537	159	159
22945	126384	200356	1200	215.0768266588291	270	270
46876	126234	201408	3825	214.98832425726803	195	195
41778	125553	200849	806	214.870277430598	142	142
11649	125545	225553	3859	214.7571342898982	107	107
19913	100359	200383	4950	214.2550555330572	204	204
46142	126399	200363	4428	214.10537069996073	90	90
39844	133099	200377	6813	213.50995385771034	99	99
25665	125669	201413	3900	213.34325588226065	180	180
4586	126384	225469	4948	213.3328364122192	266	266
61306	125551	200385	5967	213.02664470860978	279	279
22928	126386	200356	5625	212.264698661636	279	279
7585	100404	225553	4800	212.119330546105	144	144
46024	126399	200361	6228	211.5565143464941	144	144
55336	126386	201413	3910	211.40818936224557	98	98
34355	131551	231791	5792	211.2829065689935	220	220
32217	126399	232077	4539	209.43815069128664	75	75
8335	125553	226364	955	209.10308408686907	389	389
1809	100356	232097	5700	208.53072811199374	342	342
15726	125682	229913	1257	208.16169510183983	159	159
51545	131536	200378	4110	206.6578424956319	156	156
45706	126399	200383	5580	205.70181419851968	228	228
62636	125551	200361	2172	205.63035807289918	420	420
39188	133099	200372	3000	204.8466110527291	96	96
60231	125551	200362	6360	204.7482984885588	276	276
6458	125682	231786	2025	204.38192609628067	315	315
29622	125669	200379	42	203.7928063924775	132	132
33177	125545	225669	1950	203.68147171609255	348	348
45597	126399	200385	2907	203.58650675422172	165	165
62438	125551	200375	4600	202.60665263821357	248	248
6690	125669	231786	5672	201.34095765822238	322	322
52122	131536	200378	1950	200.88029236561553	156	156
57434	129912	200377	1062	200.48996827844798	204	204
25451	132097	200381	4112	199.75020347910586	160	160
3693	125469	200407	6750	199.58551405375258	102	102
60714	125551	201413	1684	199.4498452903415	260	260
40219	133099	200378	4112	199.082868135366	208	208
36519	100380	226364	5850	199.05020397713022	426	426
17076	126384	225673	6734	197.61228616108588	178	178
54559	126386	200385	6048	196.76873649966328	66	66
59660	125682	200362	1188	195.87428750560775	234	234
18012	125469	231786	6840	195.79499790997792	234	234
27909	126386	201408	1260	195.34731812245968	228	228
28573	125694	200376	6750	194.5919117030706	228	228
34977	133099	226386	1170	193.51328407365546	258	258
46919	126399	201413	5848	192.61031270729902	200	200
15127	129912	225673	21	191.49203685354206	219	219
60234	125551	200362	6540	190.98969616287562	276	276
8336	125553	226364	966	188.1948897166306	390	390
57796	129912	200377	4275	187.38357196822642	201	201
61445	125551	200344	4359	186.8775179797372	447	447
57721	129912	200377	7156	186.58387696377807	200	200
