id	origin	dest	dep_time	vot	tt	fftime
61099	125553	200380	2214	1909.416011615887	180	180
1778	100405	231791	858	1465.4969342638283	318	318
57368	126399	200379	1305	1245.6157860120218	255	255
55624	126364	200344	3156	993.9839467909528	42	42
55892	126364	200345	6804	837.8777531813647	54	54
11794	125682	226393	1170	792.8118303097248	192	192
46447	100378	231483	5550	740.4423029067694	138	138
56681	126359	200344	6930	720.3800049817066	72	72
66100	131536	200383	150	718.0297536709066	252	252
12645	100374	201413	6900	599.9147956584707	120	120
7737	125694	200405	2250	590.9478987912238	138	138
23388	125551	231786	7116	530.4652914923876	216	216
48051	133099	200386	6450	522.3542257199706	234	234
30833	130479	200382	3264	516.6523433899322	72	72
15873	125545	225551	2046	514.5755143296445	180	180
15465	125551	225545	4390	507.380362845522	188	188
62088	125545	200383	1572	494.1547704264734	306	306
34569	132077	200361	1850	473.28418410502087	142	142
39226	130615	200377	2400	450.95027255002674	150	150
71738	129912	200377	255	450.66315071584063	201	201
20500	125551	233096	1440	437.06045917376895	444	444
26730	131027	200406	810	436.25835681986405	258	258
6232	132097	231786	6480	420.76189985710556	306	306
75233	125551	200362	3735	418.0041555626735	273	273
1822	100382	231791	1758	414.63751614476615	246	246
40686	131536	225669	6333	413.00934553880836	303	303
11509	125682	226393	3023	410.05047768683716	187	187
7329	129912	200405	1684	408.99335338979864	308	308
66699	131536	200403	1011	403.35766358591155	33	33
39101	130615	200381	2836	396.8952193826359	122	122
69783	129912	201413	5550	393.997257246553	192	192
59728	125545	200386	4860	369.3874417285112	396	396
75301	125551	200362	6105	362.3720955632055	273	273
42921	133099	231027	4221	353.2833532257507	303	303
10279	125553	226364	6960	349.85105924441154	390	390
22231	133096	226364	4575	348.3200177293164	81	81
35403	125694	200406	2880	345.0152638939384	90	90
12545	131536	225553	2976	344.4550301271596	90	90
50458	133099	200378	5280	343.58635405519556	210	210
69847	129912	201413	6190	343.4736969613934	188	188
7267	129912	200405	2344	340.8370250756205	308	308
20396	126359	225553	6840	338.6980196897038	420	420
8990	100383	225553	5700	337.71268582709746	300	300
10331	125553	226364	210	335.00652514843887	390	390
53981	126364	200380	3340	334.49428385474556	416	416
12342	100405	201408	450	330.42447332716654	114	114
63984	131536	200373	6152	329.0773860355376	94	94
39945	125553	226386	1125	327.7565460548449	423	423
19109	129912	225673	1476	325.76976717683834	222	222
9643	100849	231786	3900	322.349967292238	102	102
59954	125553	200405	4455	318.0282098718182	195	195
9608	101408	225553	6000	316.03114200652	156	156
65482	131536	200380	630	315.96232837771873	120	120
78529	125551	200356	1200	314.8695251498688	372	372
46575	100405	231483	1229	314.1694940617199	211	211
28949	126384	200363	2248	312.48965337861847	80	80
