id	origin	dest	dep_time	vot	tt	fftime
60425	129912	200377	1590	1909.416011615887	204	204
1763	100361	231791	6441	1465.4969342638283	165	165
56483	131483	200376	5850	1245.6157860120218	174	174
54788	131536	200378	2544	993.9839467909528	156	156
55051	131536	200383	6793	837.8777531813647	251	251
45542	126364	200380	6748	740.4423029067694	416	416
55814	131536	200384	3712	720.3800049817066	278	278
65499	125551	200375	1100	718.0297536709066	250	250
56876	131229	200362	4050	626.1238447634709	132	132
12420	125545	225553	4920	599.9147956584707	108	108
21724	100381	200385	3150	530.4652914923876	144	144
47157	126364	200345	3736	522.3542257199706	50	50
30035	125682	200361	2500	516.6523433899322	284	284
15593	125553	226234	6352	514.5755143296445	266	266
41286	131536	201413	4112	505.5129463743441	286	286
61470	129912	200376	2520	494.1547704264734	240	240
33553	125553	226386	3024	473.28418410502087	426	426
38131	100405	225469	2550	450.95027255002674	54	54
20060	100375	200360	6750	437.06045917376895	126	126
25927	130479	200380	7068	436.25835681986405	156	156
6008	129912	225553	1472	420.76189985710556	484	484
39545	100375	233099	2812	413.00934553880836	74	74
7153	130584	225545	3300	408.99335338979864	324	324
58970	126386	200362	4320	369.3874417285112	126	126
41835	133099	200379	2528	353.2833532257507	208	208
10095	125682	226393	6855	349.85105924441154	189	189
34279	125551	231027	6750	345.0152638939384	312	312
12258	125545	225553	3803	344.4550301271596	103	103
49414	126359	201413	5528	343.58635405519556	292	292
7101	125669	231786	6120	340.8370250756205	324	324
8560	125551	226307	3075	337.71268582709746	453	453
10149	125682	226393	4382	335.00652514843887	190	190
53035	133099	201413	4716	334.49428385474556	168	168
12017	126364	233096	7155	330.42447332716654	81	81
63476	125551	226364	1307	329.0773860355376	481	481
38742	100358	226359	5220	327.7565460548449	210	210
59213	126386	200362	7047	318.0282098718182	123	123
64901	125551	200382	4050	315.96232837771873	168	168
28377	129912	200380	6104	312.48965337861847	322	322
31227	125669	200379	5535	311.6388397204161	129	129
28096	129912	200381	1540	310.2309074520612	284	284
22403	131027	200384	6750	308.1165581158131	126	126
65130	125551	200378	1092	305.62096323993325	132	132
35910	126399	229913	2520	302.478272332818	114	114
