id	origin	dest	dep_time	vot	tt	fftime
60459	126386	201413	2008	1909.416011615887	98	98
56655	131536	200372	6720	1245.6157860120218	42	42
54984	125545	200359	600	993.9839467909528	306	306
55212	126234	200849	4950	837.8777531813647	252	252
11446	125553	225469	3420	792.8118303097248	228	228
45863	126307	200361	1881	740.4423029067694	81	81
55950	133099	201413	1637	720.3800049817066	163	163
65711	125682	200362	1264	718.0297536709066	230	230
57186	131536	200379	1960	626.1238447634709	212	212
12433	126364	233096	2394	599.9147956584707	84	84
7600	130615	231786	1890	590.9478987912238	318	318
22206	100359	200384	4950	530.4652914923876	174	174
47387	126359	200361	6352	522.3542257199706	98	98
30317	132077	200361	5895	516.6523433899322	141	141
15858	125553	225545	1703	514.5755143296445	103	103
15447	125553	225545	5052	507.380362845522	108	108
61507	129912	201413	6016	494.1547704264734	188	188
38454	133099	226386	108	450.95027255002674	258	258
20257	125553	231786	2412	437.06045917376895	120	120
26031	126384	200377	1028	436.25835681986405	160	160
6067	126384	200405	6620	420.76189985710556	268	268
1811	100360	231791	5625	414.63751614476615	225	225
39953	100358	225469	3300	413.00934553880836	354	354
11256	100378	201408	6750	410.05047768683716	42	42
66325	125551	200362	6232	403.35766358591155	272	272
38326	133099	230616	2047	396.8952193826359	275	275
59199	131483	200379	2400	369.3874417285112	186	186
42007	133099	200385	6531	353.2833532257507	195	195
10101	125694	226393	4560	349.85105924441154	228	228
34630	125545	230615	600	345.0152638939384	342	342
12274	126364	233096	195	344.4550301271596	81	81
49738	126359	200344	4320	343.58635405519556	72	72
7119	125682	231786	6206	340.8370250756205	316	316
20141	125553	231786	1560	338.6980196897038	120	120
8616	125551	226399	3150	337.71268582709746	372	372
10155	125682	226393	2538	335.00652514843887	192	192
1355	100377	230616	1200	332.2719787135157	120	120
12037	126359	233096	126	330.42447332716654	114	114
63547	129912	200377	7014	329.0773860355376	204	204
39222	125545	231551	6524	327.7565460548449	280	280
18922	126384	225673	4040	325.76976717683834	178	178
9535	125551	226359	2892	322.349967292238	516	516
59366	131483	200384	300	318.0282098718182	252	252
65078	125682	201413	6508	315.96232837771873	140	140
45991	125553	200849	6860	314.1694940617199	142	142
28482	129912	200407	4680	312.48965337861847	240	240
31452	125682	200359	1650	311.6388397204161	270	270
28253	125669	201408	5284	310.2309074520612	236	236
22726	100381	200406	4050	308.1165581158131	42	42
68014	125551	200382	3240	306.98376366135466	168	168
65320	125682	200362	4545	305.62096323993325	231	231
36149	126234	231791	3795	302.478272332818	363	363
24281	126384	231551	6750	300.84132866014676	198	198
29208	129912	200378	3180	292.6816252433087	276	276
65179	125682	201413	4552	289.72718700306126	140	140
41988	133099	200384	4110	289.19507255664814	198	198
33446	125669	200380	2350	288.7986470567586	164	164
66914	125551	201408	5650	281.66412261646525	164	164
48288	126364	200361	5012	280.46197715685645	130	130
52593	125545	200406	7137	280.1855035128488	219	219
18996	126384	225673	4650	279.6088784823041	180	180
15510	125553	225545	1866	279.35106794543503	108	108
4701	125469	231551	1000	278.2941574161406	122	122
32978	125669	200378	6888	275.7893462948116	168	168
43748	133096	200379	1620	275.2203430777378	366	366
33100	125669	200380	5220	272.89463878884925	168	168
62650	129912	200385	7008	272.1276417621537	156	156
25286	126386	200358	1912	271.53966407100336	236	236
20168	125553	231786	1878	271.47915540064935	120	120
64762	129912	200376	6971	270.4475688812128	235	235
52578	125545	200406	6672	268.6360121499423	222	222
55823	133096	201410	1350	268.37671781639017	150	150
61685	129912	201413	4626	268.3190057011043	192	192
14721	125545	225551	4532	267.4691067182313	178	178
30287	132077	200375	3000	264.7037219817481	264	264
66142	125551	200379	6072	263.5183288213767	192	192
17322	125682	229913	450	262.60791537434335	162	162
39090	125553	231551	4160	262.4903815049878	298	298
60502	126386	201413	2722	260.1604722371706	98	98
21078	100376	200374	1350	258.85537685355905	66	66
20406	125553	231786	7119	258.72251974707655	117	117
30156	132077	200344	5012	257.78046559861235	292	292
56193	133099	201409	4229	254.43940394677776	37	37
28600	129912	200406	2882	254.076763162862	262	262
30372	132077	200361	3745	253.85777989263048	143	143
398	129912	231786	2775	253.62914463564283	429	429
51976	126364	201408	1156	253.02647970083126	314	314
33036	125669	200381	5640	250.95021316194135	132	132
11669	126234	233099	3780	250.1019382132984	144	144
59500	131229	200374	6750	250.0187051992549	360	360
28304	125669	201413	6636	248.3054329625164	180	180
35879	131536	225669	4267	246.6571480348335	305	305
28689	129912	200384	2640	244.8300831352836	180	180
50403	126399	200380	1440	244.54627347524388	354	354
64468	129912	200376	2950	243.6463887865248	236	236
23911	129912	230616	3856	242.83952192413943	200	200
23104	131027	200362	4824	242.52182670492155	162	162
44849	133099	200359	2550	240.47355767780746	132	132
56774	131536	200378	3786	240.34189039396614	156	156
9550	125551	226359	1220	239.87754593599206	514	514
35835	131536	225669	6596	237.90505561027504	304	304
3515	125469	200361	4675	237.56815395922564	407	407
2246	100362	231229	4638	237.52677383620932	132	132
9416	125553	226364	2988	237.44230447088938	390	390
58222	131536	200383	126	236.5833925376928	252	252
7086	125682	231786	4800	235.90829565466856	318	318
51460	125553	201413	4700	235.5273635441142	346	346
46251	126234	200383	3484	234.7558826712073	320	320
66769	125551	201413	4877	233.52667095011057	259	259
49450	126364	200344	6140	233.37370497006862	40	40
43946	133099	200377	7084	231.05920070850195	98	98
38153	133099	230616	6521	230.94101061324284	271	271
56476	131536	200375	1980	230.91115742330638	204	204
28278	125669	201408	2838	229.10004307944527	240	240
44072	133099	200376	6225	227.31330038293194	111	111
27386	130479	200381	1020	226.5782905259348	120	120
16131	101410	200382	3150	226.33343496303738	264	264
47425	126359	200360	5100	225.7223985772882	114	114
22488	133099	225551	1050	224.88457836816306	276	276
36483	125545	225669	6525	224.56511596255288	345	345
32283	125682	200377	1060	223.94515304502815	152	152
23161	131027	200375	180	223.20750886003566	222	222
53235	125553	200372	3900	222.36132935151542	102	102
43339	131536	201413	4800	220.27054657274013	288	288
41901	133096	200405	2400	220.25750126117617	396	396
