node	productions	attractions	arrival_time	parking_fee
9024	615.1419000000002	623.6278999999984	7538.182573350016	5
9001	703.86554	703.8289400000008	5033.795468064186	5
9002	319.9236899999997	319.87971000000016	10511.627208728609	5
9003	223.92820999999972	223.9049399999999	3971.602131329655	5
9004	927.2246199999997	935.6846299999996	533.6199911583744	5
9005	485.42490000000004	484.885	6166.467153748997	5
9006	607.8124499999996	607.7309899999991	3476.7394349195865	5
9007	967.5499299999997	967.1199399999998	8504.948026948166	5
9008	1335.8007000000011	1335.390899999999	0.0	5
9009	1295.6584000000014	1303.7016000000008	7906.474073861733	5
9010	3615.8974000000035	3607.691900000004	5438.231051986737	5
9011	1783.7179999999992	1791.5993999999978	1634.8436790207124	5
9012	1111.9999300000004	1119.8410999999985	3985.4064299754673	5
9013	1167.8010000000013	1159.7694999999994	7207.71331018365	5
9014	1127.868099999999	1127.8331999999996	7254.4303407265825	5
9015	1711.889200000002	1703.7247999999986	1296.171557644453	5
9016	2087.8077000000003	2087.749199999999	6557.498060169053	5
9017	1871.709400000003	1871.3205000000007	3457.0298055405183	5
9018	379.86179999999996	374.0104	6409.509425274545	5
9019	1023.8953800000007	1023.8959999999997	1151.1014014128486	5
9020	1479.5626000000007	1471.1247000000005	4690.937577986572	5
9021	879.8864999999993	879.9089000000017	6497.332862136638	5
9022	1951.747500000002	1951.711000000002	3097.115529771467	5
9023	1159.7727000000011	1159.8124000000016	6971.8862287246075	5
