27	(1, 2)	6
27	(2, 4)	6
4	(1, 2)	18
4	(2, 4)	18
15	(1, 2)	48
15	(2, 4)	48
25	(1, 2)	54
25	(2, 4)	54
27	(4, 5)	60
26	(1, 2)	72
24	(1, 2)	72
26	(2, 4)	72
24	(2, 4)	72
4	(4, 5)	72
141	(1, 2)	78
141	(2, 3)	78
15	(4, 5)	102
25	(4, 5)	108
28	(1, 2)	120
28	(2, 4)	120
141	(3, 4)	120
26	(4, 5)	120
24	(4, 5)	126
141	(4, 5)	138
148	(1, 2)	156
148	(2, 3)	156
149	(1, 2)	162
149	(2, 3)	162
6	(1, 2)	168
6	(2, 4)	168
28	(4, 5)	174
19	(1, 2)	180
19	(2, 4)	180
148	(3, 4)	198
149	(3, 4)	204
148	(4, 5)	216
149	(4, 5)	222
6	(4, 5)	222
20	(1, 2)	234
20	(2, 4)	234
19	(4, 5)	234
16	(1, 2)	258
16	(2, 4)	258
1	(1, 2)	270
146	(1, 2)	270
1	(2, 4)	270
146	(2, 3)	270
34	(1, 2)	276
34	(2, 4)	276
142	(1, 2)	282
144	(1, 2)	282
142	(2, 3)	282
144	(2, 3)	282
20	(4, 5)	288
5	(1, 2)	294
5	(2, 4)	294
21	(1, 2)	300
21	(2, 4)	300
3	(1, 2)	312
3	(2, 4)	312
146	(3, 4)	312
16	(4, 5)	312
33	(1, 2)	318
33	(2, 4)	318
142	(3, 4)	318
144	(3, 4)	324
1	(4, 5)	324
146	(4, 5)	330
34	(4, 5)	330
142	(4, 5)	336
144	(4, 5)	342
5	(4, 5)	348
21	(4, 5)	354
3	(4, 5)	366
33	(4, 5)	372
7	(1, 2)	384
7	(2, 4)	384
14	(1, 2)	390
14	(2, 4)	390
31	(1, 2)	402
31	(2, 4)	402
35	(1, 2)	420
18	(1, 2)	420
35	(2, 4)	420
18	(2, 4)	420
147	(1, 2)	426
147	(2, 3)	426
7	(4, 5)	438
14	(4, 5)	444
31	(4, 5)	456
147	(3, 4)	468
35	(4, 5)	468
18	(4, 5)	474
147	(4, 5)	486
145	(1, 2)	492
145	(2, 3)	492
143	(1, 2)	504
143	(2, 3)	504
145	(3, 4)	534
143	(3, 4)	546
145	(4, 5)	552
13	(1, 2)	564
13	(2, 4)	564
143	(4, 5)	564
30	(1, 2)	606
30	(2, 4)	606
13	(4, 5)	618
23	(1, 2)	636
22	(1, 2)	636
23	(2, 4)	636
22	(2, 4)	636
2	(1, 2)	648
17	(1, 2)	648
12	(1, 2)	648
2	(2, 4)	648
17	(2, 4)	648
