Origin	Dest	Dep_time	Park	Repositioning	Transit	Minimum
1	5	0	6.365	2147483647.000	2.354	2.354
1	5	900	5.877	2147483647.000	1.866	1.866
1	5	1800	5.390	2147483647.000	1.379	1.379
1	5	2700	5.487	2147483647.000	1.441	1.441
1	5	3600	7.387	2147483647.000	3.341	3.341
1	5	4500	9.267	2147483647.000	5.241	5.241
1	5	5400	11.167	2147483647.000	7.141	7.141
1	5	6300	13.088	2147483647.000	9.041	9.041
5	1	0	2147483652.000	2147483647.000	6441326.200	6441326.200
5	1	900	2147483652.000	2147483647.000	6441325.401	6441325.401
5	1	1800	2147483652.000	2147483647.000	6441324.601	6441324.601
5	1	2700	2147483652.000	2147483647.000	6441323.802	6441323.802
5	1	3600	2147483652.000	2147483647.000	6441323.002	6441323.002
5	1	4500	2147483652.000	2147483647.000	6441322.203	6441322.203
5	1	5400	2147483652.000	2147483647.000	6441321.403	6441321.403
5	1	6300	2147483652.000	2147483647.000	6441320.604	6441320.604
