164	101	0
164	12	0
232	101	6
71	101	6
232	12	6
71	12	6
140	101	12
140	12	12
15	101	18
15	12	18
60	101	24
221	101	24
60	12	24
221	12	24
123	101	30
20	101	30
109	101	30
123	12	30
20	12	30
243	101	36
109	12	36
243	12	36
45	101	48
3	101	48
195	101	48
144	101	48
18	101	48
169	101	48
45	12	48
3	12	48
74	101	54
227	101	54
23	101	54
201	101	54
153	101	54
195	12	54
144	12	54
63	101	60
58	101	60
171	101	60
18	12	60
169	12	60
122	101	66
74	12	66
227	12	66
82	101	72
23	12	72
201	12	72
28	101	78
153	12	78
63	12	78
124	101	84
58	12	84
171	12	84
35	101	90
33	101	90
214	101	90
122	12	90
82	12	90
213	101	96
28	12	96
124	12	96
166	101	102
35	12	102
33	12	102
2	101	108
198	101	108
214	12	108
213	12	108
166	12	114
2	12	114
154	101	120
172	101	120
198	12	120
154	12	120
172	12	126
102	101	132
102	12	132
176	101	138
97	101	138
176	12	138
97	12	138
137	101	144
185	101	144
137	12	144
185	12	144
128	101	150
128	12	150
30	101	156
110	101	156
120	101	156
30	12	156
110	12	156
120	12	162
244	101	168
244	12	168
19	101	174
234	101	174
19	12	174
234	12	174
149	101	180
126	101	180
149	12	180
126	12	180
29	101	186
64	101	186
29	12	186
64	12	186
24	101	192
24	12	192
228	101	204
228	12	204
93	101	210
239	101	210
105	101	210
93	12	210
239	12	210
90	101	216
162	101	216
4	101	216
25	101	216
249	101	216
105	12	216
90	12	216
112	101	222
158	101	222
162	12	222
4	12	222
25	12	228
249	12	228
132	101	234
242	101	234
112	12	234
158	12	234
127	101	240
181	101	240
192	101	240
132	12	240
242	12	240
104	101	246
199	101	246
127	12	246
181	12	246
192	12	252
104	12	252
180	101	258
155	101	258
235	101	258
199	12	258
180	12	258
130	101	264
155	12	264
235	12	264
107	101	270
125	101	270
130	12	270
107	12	270
7	101	276
62	101	276
125	12	276
7	12	276
62	12	282
22	101	288
14	101	288
36	101	288
22	12	288
14	12	288
184	101	294
196	101	294
72	101	294
36	12	294
184	12	294
225	101	300
5	101	300
92	101	300
196	12	300
72	12	300
218	101	306
6	101	306
225	12	306
5	12	306
245	101	312
233	101	312
92	12	312
218	12	312
186	101	318
108	101	318
