node	productions	attractions	arrival_time	parking_fee
9015	1711.889200000002	1703.7247999999986	-4761.790440531611	5
9014	1127.868099999999	1127.8331999999996	8029.789242290426	5
9013	1167.8010000000013	1159.7694999999994	-13967.67584872522	5
9012	1111.9999300000004	1119.8410999999985	2721.2625939546806	5
9011	1783.7179999999992	1791.5993999999978	-1414.3993092305964	5
9010	3615.8974000000035	3607.691900000004	9548.61979200191	5
9009	1295.6584000000014	1303.7016000000008	7607.777642903893	5
9008	1335.8007000000011	1335.390899999999	-5519.865925698874	5
9023	1159.7727000000011	1159.8124000000016	-5553.697477005098	5
9022	1951.747500000002	1951.711000000002	12627.091168715213	5
9021	879.8864999999993	879.9089000000017	8393.022042283012	5
9020	1479.5626000000007	1471.1247000000005	-5712.001573565277	5
9019	1023.8953800000007	1023.8959999999997	-2388.9344791948383	5
9018	379.86179999999996	374.0104	1766.3626008500926	5
9017	1871.709400000003	1871.3205000000007	-1691.8196943239313	5
9016	2087.8077000000003	2087.749199999999	6290.263572430919	5
9024	615.1419000000002	623.6278999999984	17736.838370150035	5
9006	607.8124499999996	607.7309899999991	4552.810027628406	5
9007	967.5499299999997	967.1199399999998	-4384.779331900775	5
9004	927.2246199999997	935.6846299999996	1913.486679958184	5
9005	485.42490000000004	484.885	14626.428770804392	5
9002	319.9236899999997	319.87971000000016	-4604.901876044225	5
9003	223.92820999999972	223.9049399999999	4890.797030337317	5
9001	703.86554	703.8289400000008	5177.101605268	5
