1349	111	0	0	285	14411	14411	{0,0,285}
4607	111	0	0	345	14413	14413	{0,0,345}
5826	111	0	0	630	16648	16648	{0,0,285,630}
6307	121	0	0	2640	14417	14417	{0,0,2055,2640}
689	111	1	15	735	14419	14419	{15,15,120,450,570,735}
945	121	1	15	1095	16653	16653	{15,15,120,405,585,1095}
6283	111	1	15	1380	14423	14423	{15,15,240,465,570,1155,1380}
6567	111	1	15	2085	16657	16657	{15,15,240,465,570,885,1470,2085}
9398	111	1	15	120	14427	14427	{15,15,120}
9591	111	1	15	405	14429	14429	{15,15,180,405}
9862	121	1	15	405	14431	14431	{15,15,120,405}
10102	111	1	15	1005	14433	14433	{15,15,120,360,660,1005}
10314	111	1	15	135	14435	14435	{15,30,135}
10997	111	1	15	780	14437	14437	{15,15,180,465,780}
11700	111	1	15	705	14439	14439	{15,15,240,420,705}
13215	121	1	15	345	14441	14441	{15,15,180,345}
26	111	2	15	465	14443	14443	{15,15,240,465}
1006	111	2	15	1155	16672	16672	{15,15,120,420,615,1155}
11503	121	2	15	915	16674	16674	{15,15,240,555,915}
12435	121	2	15	555	18782	18782	{15,15,180,285,555}
12691	121	2	15	690	14451	14451	{15,15,180,525,690}
13922	121	2	15	750	14453	14453	{15,15,240,525,750}
2253	111	3	15	120	14455	14455	{15,15,120}
2691	111	3	15	510	14457	14457	{15,15,180,285,510}
7349	121	3	15	705	14459	14459	{15,15,240,540,705}
7799	111	3	15	810	18790	18790	{15,15,300,480,810}
10335	111	3	15	135	14435	14435	{15,30,135}
10684	121	3	15	1230	16684	16684	{15,15,180,465,600,885,1230}
11519	111	3	15	540	14447	14447	{15,15,240,345,540}
413	121	4	15	2160	18794	18794	{15,15,360,585,810,2160}
4935	121	4	15	630	14468	14468	{15,15,240,405,630}
5206	121	4	15	990	18798	18798	{15,15,360,525,885,990}
6609	111	4	15	2355	16692	16692	{15,15,240,465,570,885,1485,2100,2355}
10385	121	4	15	120	14474	14474	{15,15,120}
