id	type	origin	dest	dtime	vot
164	121	1	5	34	17.153370532523887
184	121	1	5	50	11.554484195508396
23	121	1	5	57	11.189966485973866
13	121	1	5	65	32.262071131583895
30	121	1	5	68	42.8248954920562
198	121	1	5	78	34.562393555454356
158	121	1	5	83	23.035562487177252
18	121	1	5	87	6.2900798019262645
189	121	1	5	98	28.53641543381318
21	121	1	5	100	47.46973605907038
190	121	1	5	108	86.40028935041556
173	121	1	5	109	17.74278174816743
14	121	1	5	114	20.525798454662496
5	121	1	5	115	32.94024940127484
19	121	1	5	115	21.711330534191376
183	121	1	5	119	7.5447629671216285
169	121	1	5	129	32.70413252861387
33	121	1	5	135	6.404727790398734
38	121	1	5	186	0.4461974879553524
193	121	1	5	225	6.950226155481177
154	121	1	5	231	23.34524373255927
37	121	1	5	246	22.056836343615835
182	121	1	5	247	11.094098844246522
32	121	1	5	248	4.395580119883733
197	121	1	5	260	3.1414202882702837
163	121	1	5	262	32.15748757727253
172	121	1	5	271	9.914333397410143
16	121	1	5	272	25.711532854043863
28	121	1	5	272	0.9670576118997007
188	121	1	5	288	6.3993768815586405
15	121	1	5	296	12.907133232649832
159	121	1	5	302	12.393400266478235
20	121	1	5	305	7.662563558026827
174	121	1	5	327	14.477578234369053
40	121	1	5	330	36.10430413603879
178	121	1	5	331	50.776289008657415
34	121	1	5	347	92.49037465789749
8	121	1	5	374	11.783967948994675
27	121	1	5	374	1.2284632953315824
10	121	1	5	376	10.681607066719884
200	121	1	5	377	21.039321691293374
22	121	1	5	384	25.328416365405964
44	121	1	5	385	8.108125378782525
17	121	1	5	406	7.262034096291404
168	121	1	5	413	13.32915546326261
170	121	1	5	417	1.898830027252081
199	121	1	5	427	4.0615165088225424
175	121	1	5	431	52.298168103170795
160	121	1	5	434	2.8161864180154956
29	121	1	5	438	16.872122001534056
49	121	1	5	438	5.709703353014268
171	121	1	5	458	9.124242377502707
9	121	1	5	459	3.412492709201221
185	121	1	5	473	8.168907400365834
25	121	1	5	474	6.106539882185638
186	121	1	5	474	22.97686321868528
192	121	1	5	477	18.787327877780903
191	121	1	5	536	10.72453149327532
194	121	1	5	540	19.260201140144023
6	121	1	5	542	14.540141575230582
162	121	1	5	577	0.7246469615673738
35	121	1	5	584	4.86977531663428
156	121	1	5	589	15.313372204014055
177	121	1	5	607	33.596356669682905
166	121	1	5	623	13.145523663099869
180	121	1	5	623	83.38934230302681
39	121	1	5	628	10.625568258749478
181	121	1	5	629	9.66433540101989
46	121	1	5	632	21.227423192063398
155	121	1	5	635	80.95578959766425
196	121	1	5	637	13.073637457474513
165	121	1	5	640	27.485537154455848
3	121	1	5	649	9.469431915183009
48	121	1	5	651	14.949879776530203
153	121	1	5	676	29.97703993513953
31	121	1	5	688	38.783567870643836
12	121	1	5	691	31.79838574192041
179	121	1	5	706	8.855464267142949
152	121	1	5	720	17.68069149096398
1	121	1	5	758	17.050873036960876
187	121	1	5	758	9.831175235098844
24	121	1	5	760	2.8581669786001545
11	121	1	5	771	103.5808076902391
42	121	1	5	776	10.042515940054143
157	121	1	5	778	94.21623161428549
45	121	1	5	782	17.808487137220684
2	121	1	5	785	15.918114280496873
195	121	1	5	791	39.33796279313408
36	121	1	5	808	43.3097430932532
176	121	1	5	812	0.06341011876453738
167	121	1	5	813	0.0018944276545558346
7	121	1	5	825	27.62922183802941
161	121	1	5	835	35.90268800202616
151	121	1	5	857	12.186097151282627
26	121	1	5	865	3.4853561560607953
43	121	1	5	872	74.15739225472137
4	121	1	5	883	21.688581692563883
50	121	1	5	889	1.5102909862417286
47	121	1	5	891	32.61902688398486
41	121	1	5	894	5.105285658360791
249	121	1	5	902	48.88757163593227
216	121	1	5	909	52.09234934789948
71	121	1	5	919	27.423293278666243
90	121	1	5	922	4.42006034885807
219	121	1	5	936	5.1428733893234595
236	121	1	5	952	29.536184258746
215	121	1	5	965	49.65149232825221
74	121	1	5	972	39.719088514893244
68	121	1	5	977	39.09961009129801
227	121	1	5	991	38.44022190382136
233	121	1	5	1001	29.228188036601193
57	121	1	5	1012	4.609119490247315
243	121	1	5	1034	3.1935875150958344
66	121	1	5	1035	1.2662659196401433
60	121	1	5	1068	11.72319936075224
225	121	1	5	1091	1.8334022477937024
73	121	1	5	1096	15.164606012857519
220	121	1	5	1100	11.494576709369474
76	121	1	5	1112	37.451626182166926
224	121	1	5	1121	15.5612946009174
86	121	1	5	1133	26.109062355683182
96	121	1	5	1168	4.271400576019094
63	121	1	5	1170	18.062810133568405
210	121	1	5	1172	9.950817921595533
