Iter	Step	Moved	Gap %	AEC	TSTT	Trips	Non-exit	time
1	1.0000	174	100.00%	12.5	0.6	174	1	0.04
2	0.5000	81	26.95%	5.1	0.9	174	1	0.02
3	0.3333	56	13.00%	2.8	1.0	174	1	0.01
4	0.2500	45	9.16%	1.9	1.0	174	1	0.01
5	0.2000	47	6.61%	1.3	1.0	174	1	0.01
6	0.1667	29	4.91%	1.0	1.0	174	1	0.01
7	0.1429	27	4.39%	0.9	0.9	174	1	0.01
8	0.1250	27	3.89%	0.8	0.9	174	1	0.01
9	0.1111	20	3.20%	0.6	0.9	174	1	0.01
10	0.1000	13	3.20%	0.6	0.9	174	1	0.01
11	0.0909	14	2.86%	0.6	0.9	174	1	0.01
12	0.0833	14	2.86%	0.6	0.9	174	1	0.01
13	0.0769	13	2.68%	0.5	0.9	174	1	0.01
14	0.0714	15	1.98%	0.4	0.9	174	1	0.01
15	0.0667	13	1.81%	0.3	0.9	174	1	0.01
16	0.0625	8	1.81%	0.3	0.9	174	1	0.01
17	0.0588	8	1.45%	0.3	0.9	174	1	0.01
18	0.0556	10	1.45%	0.3	0.9	174	1	0.01
19	0.0526	10	1.45%	0.3	0.9	174	1	0.01
20	0.0500	8	1.27%	0.2	0.9	174	1	0.01
21	0.0476	7	1.27%	0.2	0.9	174	1	0.01
22	0.0455	6	1.27%	0.2	0.9	174	1	0.01
23	0.0435	6	1.09%	0.2	0.9	174	1	0.01
24	0.0417	6	1.09%	0.2	0.9	174	1	0.01
25	0.0400	5	1.09%	0.2	0.9	174	1	0.01
26	0.0385	7	1.09%	0.2	0.9	174	1	0.01
27	0.0370	4	1.09%	0.2	0.9	174	1	0.01
28	0.0357	4	0.91%	0.2	0.9	174	1	0.01
29	0.0345	6	0.91%	0.2	0.9	174	1	0.01
30	0.0333	6	0.91%	0.2	0.9	174	1	0.01
31	0.0323	4	0.91%	0.2	0.9	174	1	0.01
32	0.0313	2	0.91%	0.2	0.9	174	1	0.01
33	0.0303	6	0.91%	0.2	0.9	174	1	0.01
